Rank,Fan,Hand,Starting Hand,Fan Types,Win Type,Player,Player ID,Record
160,99,"[CCC,1][FFF,3][PPPP,2]3346m5m|SS1000","3346m5p7sECCFFPP|SS0000","大三元","tsumo","国麻萧寒","0Tnq4yaT","kiJ14P5X"
161,99,"[FFF,1][666s,3][888s,2]3344s4s|SE0000","57m1679p346899sSF|SE0000","绿一色","ron","徐北","XKvaV6L7","Aa40Uz40"
162,99,"[FFF,3][333s,3][222s,3]2466s3s|SS0100","17m46p1233sWNFFP|SS0000","绿一色","ron","萌新大白獭","VqDyhii1","DwDgomdp"
163,99,"[PPP,2][FFF,2][CCC,2]88m22p2p|WN1000","4588m12p156sCFFP|WN0000","大三元","tsumo","暗刻来了","Y8ecrPb8","jYyL8zfo"
164,99,"[PPPP,2][CCC,3][FFF,1]4588s3s|EE1000","15m7p129sESCCFPPP|EE0000","大三元","tsumo","余光","bwrahuxU","fbGzXqXH"
165,99,"[SSS,2][NNN,3]55mEEEWWW|NE1000","458m9p88sEEESSWNC|NE0000","大四喜","tsumo","对酒当歌","6aRvk6KL","jYyBqCVy"
166,99,"[WWW,2]66pEEESSSNN6p|SW1000","5m266p3sEEESSWWN|SW0000","小四喜","tsumo","tmry","RQ20xH4N","vS0sEh6A"
167,98,"19m19p19sESNCFPPW|SW0001","19m28p89sESNCFPP|SW0000","十三幺","ron","青緺","gwi2CMJn","k4WrV692"
168,98,"9m19p119sESWNCFP1m|EE0010","45m126p7sEESWNCFP|EE0000","十三幺","ron","烨卉","keyz7wLd","VXhsSqmC"
169,98,"[234s,3]22234888sFFF|NW1000","189p223348sWNCF|NW0000","绿一色","tsumo","黑一色","m1NhYUrF","0JGVASLb"
170,98,"[444s,2][222s,3][FFF,3]6688s8s|NS0000","7m6799p122466sSN|NS0000","绿一色","ron","时追喵","bp5W5abk","SbhPUNRv"
171,98,"[444s,3][666s,3]23888sFF4s|SS1100","66m347p13468sWFF|SS0000","绿一色","tsumo","错和紫乌龟","AqLMJVMa","1ubFF42o"
172,98,"[888s,2][FFFF][6666s]2234s2s|WW0000","2339m25668sECFF|WW0000","绿一色","ron","Innnnnfinity","EfLAvKYG","d6GkNq68"
173,98,"[CCC,1][FFFF,1]22456mPPP|SS0000","12245m35sSCFFFP|SS0000","大三元","ron","CHAGA03","hNEQmgMK","tkirjaNR"
174,98,"[CCC,2][FFF,2]33678pPPP|NW1000","22m3369p3sNCCFFP|NW0000","大三元","tsumo","山丹丹开花","ENbgMfTU","1cRqKrhm"
175,98,"[CCC,2][FFF,2][PPP,3]666m6s6s|SS1000","666m27p6sSWCFFPP|SS0000","大三元","tsumo","阿尔及尔人","Zsf634Xy","rfj59Ppy"
176,98,"[CCC,3][PPPP]444777sFF|SW1000","3m5p3467sNCCFPPP|SW0000","小三元","tsumo","诈和天地人和","AzuK3pft","5882xZgC"
177,98,"[CCCC,7][FFF,2]44567mPPP|ES0000","4467m1369sSWCCP|ES0000","大三元","ron","Triste","Fg1mmqpF","o220vwir"
178,98,"[FFF,2]22345pCCCPPP|SS1000","38m2359p59sCCFFP|SS0000","大三元","tsumo","佰番shooter","NMaPwyJ4","Qi6huUCA"
179,98,"[FFF,2][234s,2]3366688s3s|SS1000","2669m12p23466sFF|SS0000","绿一色","tsumo","左右","TWyh008h","pzo0dgZu"
180,98,"[FFF,2][CCC,2]55m99sPPP9s|NE0000","13578m346p8sCCFFP|NE0000","大三元","ron","大哥大的小弟","n9yE6Tr5","Hiw10taH"
181,98,"[FFF,2][PPP,1]5699pCCC7p|NN0000","2m3699p1247sFFPP|NN0000","大三元","ron","吸烟酱","rdq7QcQK","dRFpJxK2"
182,98,"[FFF,3][CCC,3][999m,2]11sPP1s|WE0000","799m69p11sECCFFPP|WE0000","小三元、混幺九","ron","国麻萧寒","0Tnq4yaT","dTeBh2oM"
183,98,"[FFFF,7]11234sCCPPPC|EN0000","59m24p1122sSFFPP|EN0000","大三元","ron","二狗狗不狗","gHnZ3HQ6","Lh1RgLp9"
184,97,"119m19p19sESWNFPC|SS0001","19m234489p19sSNF|SS0000","十三幺","ron","Jux","vD06jvsw","G0pSx8Vm"
185,97,"19m19p19sSWNNCFPE|ES0100","117m7p1688sSWNCF|ES0000","十三幺","ron","HillLee97","sdeH0a2T","nkjNBrZb"
186,97,"1m19p19sESWNNCFP9m|WW0100","128m179p159sENCP|WW0000","十三幺","ron","K437","rmWLRGb7","Fu0MgneF"
187,97,"[444s,1][FFFF,2]2366888s4s|EW0100","2m7p1346789sSFFP|EW0000","绿一色","ron","benzene","6N8tN6kU","jwWMm14B"
188,97,"[777s,2][FFF,2]77pCCPPPC|SS0000","4m3477p677sSCFFP|SS0000","大三元","ron","麻将小白","n299Fxwr","cWTQJD0G"
189,97,"[CCC,1][FFF,1][234s,1]EPPPE|EE1000","126m1p38sWNCCFFPP|EE0000","大三元","tsumo","雨萌小小酱","wXv1sNUz","cEk2FXrU"
190,97,"[CCC,2][PPP,3]11456sFFF|EW0000","136p1456sCCFFPP|EW0000","大三元","ron","CHAGA07","WySi0ZjP","Nmyh4Yzy"
191,97,"[CCC,3][PPP,2][FFF,2]77p77s7p|WN0000","2369m7p377sCCFFP|WN0000","大三元","ron","傻哥哥","BT5iwHMr","tYADgbcp"
192,97,"[CCCC,7][PPP,3]2344pFFF4p|ES1000","89m23457p17sSCFP|ES0000","大三元","tsumo","CHAGA07","WySi0ZjP","71jqKFWc"
193,97,"[FFF,1][PPP,1][666p,2]44mCCC|SS1000","44m468p58sECCFFP|SS0000","大三元","tsumo","喵可莉","eog9hEua","bp79f7UX"
194,97,"[FFF,1][PPP,2]34588pCCC|SW0000","236m458p3sECFFPP|SW0000","大三元","ron","山浩然","JpG3GvUh","vgyF80Ex"
195,97,"[FFF,2][444s,3]2266888s2s|WW0000","16p24566888sSFF|WW0000","绿一色","ron","落英","xVAcRWdV","GVSY3SLc"
196,97,"[FFF,2][CCC,1]33678sPPP|ES1000","388m9p378sSWNCFF|ES0000","大三元","tsumo","CHAGA01","ATAaGdpW","tzTYgSo0"
197,97,"[FFF,2][CCC,3]22p11sPPP1s|WE0000","5m226p16sEWCFFPPP|WE0000","大三元","ron","萌新99","3WjMHk6N","58Axe1fq"
198,97,"[FFF,3][888s,2][666s,3]2444s2s|SW0000","5m12p24668sEENFF|SW0000","绿一色","ron","W凌焱","fJ4qFg1x","quekCPrF"
199,97,"[FFF,3][PPP,3]1236pCCC6p|NE1000","16m2336p148sCFFPP|NE0000","大三元","tsumo","K437","rmWLRGb7","tWbSAJs0"
200,97,"[FFF,3][PPP,3][CCC,2]345mNN|SS1000","34m134p37sECCFPP|SS0000","大三元","tsumo","诈和天地人和","AzuK3pft","fMV6AYGH"
201,97,"[NNN,2][PPPP,5]SSSWWWCC|SS1000","2m14p59sSSWWNNFP|SS0000","字一色","tsumo","猫猫今天吃啥","qaWUmWTs","5zzuSw2P"
202,97,"[PPP,2]6788mCCCFFF5m|EN1000","468m49p478sCCFPP|EN0000","大三元","tsumo","浮光","MzMz95Sk","HcZaZQzy"
203,97,"[PPP,3][FFF,3][CCC,2]1145m6m|SN1000","1149m28p6sWCFFPP|SN0000","大三元","tsumo","我来辣","DUwGJ4te","8i1qxQ1D"
204,97,"[PPPP,5][FFF,2]3345sCCC3s|WS0000","4m8p334sENCCFFPP|WS0000","大三元","ron","CHAGA02","NpduDFKF","0adu9s4N"
205,96,"119m19p19sESWNCFP|NE0100","158m139p149sEWNCF|NE0000","十三幺","ron","小E","rwKhhwEy","0GHfqe4F"
206,96,"199m19p19sESWNCFP|NS0001","49m37p3579sESWCF|NS0000","十三幺","ron","雨萌小小酱","wXv1sNUz","N1kgJjGv"
207,96,"19m19p119sESWNCPF|EN0100","489m19p18sSSWNCP|EN0000","十三幺","ron","CHAGA08","7XnjdNdo","MdPtP3ur"
208,96,"19m19p119sESWNCPF|SS1100","2339m379p9sESNCP|SS0000","十三幺","tsumo","yulearning","6upEn4QR","vbVbqVgw"
209,96,"19m9p19sESWNCFPP1p|WS0100","11m2p134sEWCFPPP|WS0000","十三幺","ron","苹果狼、","q1oBEqdN","K47DUhpA"
210,96,"9m19p119sESWNCFP1m|SE1100","2m179p12379sSWCFP|SE0000","十三幺","tsumo","下等立直麻将","JtNCZEw6","TCA5bnLs"
211,96,"[111s,3][111p,2][111m,1][9999m,6]9s9s|WN0010","11799m1p11269sSN|WN0000","清幺九","ron","Doge","DF5ET0y5","GasqvKA7"
212,96,"[222m,3]66mCCCFFFPP6m|WE1000","2266m17p4sECCCFPP|WE0000","小三元","tsumo","Kokutourio","jtrWKopK","qLmVuVbn"
213,96,"[222s,1][PPP,2][CCC,2]77pFFF|SW0000","59m479p1268sCFPP|SW0000","大三元","ron","DankratosBR","v9bDudDG","raQFRMqL"
214,96,"[CCC,1][FFF,3][PPP,3]3466s2s|SE0000","33m13p34668sCCFFP|SE0000","大三元","ron","founded","MSymKCBd","HHQ4mwBo"
215,96,"[CCC,2][345p,1]99pFFPPPF|SS0000","2m12479p2sWCCFPP|SS0000","大三元","ron","浮生小朋友","RrPD5g0E","8M6R3qZy"
216,96,"[CCC,2][PPP,2]456sEEFFF|SW1000","14m1p3456sECCFPP|SW0000","大三元","tsumo","长风","X1yk82BL","mymEAJbY"
217,96,"[CCC,3][333p,3]11sFFFPPP|NW0000","1m37p167sENCCFFP|NW0000","大三元","ron","灰色天空","p0jSMro3","ACFg9gyh"
218,96,"[CCC,3][777m,3]11pFFFPPP|NS0000","2677m113p133sCFF|NS0000","大三元","ron","Lemontruth","ebTd9Zog","YRwYBScH"
219,96,"[CCC,3][FFF,3][PPPP,2]1238s8s|NE0000","7m38p1378sSCFFPPP|NE0000","大三元","ron","龙lwf","DaL3AAFw","s7USBxCs"
220,96,"[CCC,3][PPP,2]67778pFFF|NS0000","146689m7778p5sFF|NS0000","大三元","ron","光军儿","LiZHfm9D","TaPbmZgj"
221,96,"[CCC,3][PPP,3]456sNNFFF|ES1000","237m4566sNNCCFP|ES0000","大三元","tsumo","pisces","gEMAbv3u","KT0EkT7x"
222,96,"[CCCC,2]67888pFFPPPF|EE0000","39m788p267sSCCCFP|EE0000","大三元","ron","Jencese","fVSRiMYY","rb3wBaRw"
223,96,"[FFF,1][666s,1]2244488s2s|WE0000","38m99p2466sESNCFF|WE0000","绿一色","ron","pakake","A1xyMZxc","7VEzXRyP"
224,96,"[FFF,1][PPPP,7][CCC,2]5688p7p|WW0000","38m35688p1sCCFFP|WW0000","大三元","ron","龙lwf","DaL3AAFw","EpChLeZa"
225,96,"[FFF,2][222s,1][666s,2]3344s4s|WW0000","22m37p244669sEFF|WW0000","绿一色","ron","Schubert","TSdbHMvu","vDktWXsM"
226,96,"[FFF,2][444m,3][PPP,1]44pCCC|NS0000","57m4478p34sNCCFF|NS0000","大三元","ron","KNK","t5T6wAm6","iN9vqyt9"
227,96,"[FFF,2][PPP,2]44678mCCC|SE1000","44678m69p49sNFFPP|SE0000","大三元","tsumo","t2004","KEUgag4X","WpLU0mf2"
228,96,"[FFF,2][PPP,3]66p444sCCC|NN0000","6m69p12444sWNFFP|NN0000","大三元","ron","刘十三","aaybYNaa","JHjcfjep"
229,96,"[FFF,3][234s,2]2344466s6s|NS1000","69m6p1223467sECF|NS0000","绿一色","tsumo","有限鲤鱼机","Y4PofoUU","mrDqUSEd"
230,96,"[FFFF,5][PPP,3][CCC,2][123m,1]9s9s|NE1000","236m8p367sECCFFPP|NE0000","大三元","tsumo","蹦天使","vNXa8Suc","CGWr0WJa"
231,96,"[PPP,1][CCC,1][FFF,3]4467s5s|EN1000","7m68p12446sECFPP|EN0000","大三元","tsumo","和平","ZYD1UrLw","Gy0CHfbv"
232,96,"[PPP,1][CCC,3]1135pFFF4p|SE0000","79m139p3sSWCFFFPP|SE0000","大三元","ron","星月9996","v3V9Coav","9zLfuJbC"
233,96,"[PPP,1][FFF,3][CCC,3]1456p1p|WN0000","26m12468p25sCFPP|WN0000","大三元","ron","矮胖诗客ll","iDH9tYdJ","hFM1fTs3"
234,96,"[PPP,2][FFF,1]5678sCCC8s|WE1000","9m8p235689sECCCFP|WE0000","大三元","tsumo","小三元","w1QPqebu","KT3GM27j"
235,96,"[PPP,3][FFFF][CCC,1]6789p9p|SN0000","467m468p39sCCFFP|SN0000","大三元","ron","雪梦可可豆","EGpNK57h","gGLaWga8"
236,96,"[WWW,1]444sCFFFPPPC|ES0000","138m89p244sWWFFP|ES0000","小三元","ron","休息1下玩1会","Uenn5pAV","RkEKDYhg"
237,95,"19m199p19sESWNCFP|SE0100","1489m1389p189sENC|SE0000","十三幺","ron","理论力学","ZaL3gSe4","k0ieQCVB"
238,95,"19m19p119sESWNCFP|NN0100","678m19p1144sSNCF|NN0000","十三幺","ron","雨萌小小酱","wXv1sNUz","3HidSGw6"
239,95,"19m19p119sSWNCFPE|WW1100","15m189p1689sSWCP|WW0000","十三幺","tsumo","雨萌小小酱","wXv1sNUz","vr1GS5AE"
240,95,"19m19p19sEESWNCPF|WS0100","123m2689p69sEWNP|WS0000","十三幺","ron","CHAGA06","XXL9nHG0","9iUStW0h"
241,95,"19m19p19sESNCCFPW|WE0100","2469m348p19sESNCP|WE0000","十三幺","ron","国麻萧寒","0Tnq4yaT","wMZwmXpc"
242,95,"19m19p1sESWNNCFP9s|SE0100","158m157p128sESNCP|SE0000","十三幺","ron","PetrCech","0qfhyQGi","5F4zqJiP"
243,95,"19m19p9sESSWNCFP1s|SE1100","189m179p499sSWCFP|SE0000","十三幺","tsumo","低级泰坦","57uYq2fM","fr3c8G0r"
244,95,"19m9p19sESWNCCFP1p|SS1100","127m689p137sEWCP|SS0000","十三幺","tsumo","volknet","ZNf3jXvh","FfCq7RdQ"
245,95,"1m199p19sESWNCFP9m|NS0100","125m247p368sEWNP|NS0000","十三幺","ron","铁铳王","wks865i5","bZKhyYP2"
246,95,"77m22233444p222s3p|NN1000","367m12244p18sESC|NN0000","四暗刻、一色三节高","tsumo","张张进张","5jR4n2J1","iwav2FG0"
247,95,"[5555m]444666m2224p4p|SS0000","34445666m22p23sE|SS0000","四暗刻、一色三节高","ron","小龙女","7WK1gK48","w3HPpq0T"
248,95,"[666s,2]22344888sFF3s|NE1000","45p11234468sWCFF|NE0000","绿一色","tsumo","小老毕","Q0UNJiKy","PQ6VJpKb"
249,95,"[888s,1][234s,1]2466sFFF3s|EN1000","38m15p367889sNFF|EN0000","绿一色","tsumo","陌","SQh4p0T6","nBS9XMCt"
250,95,"[CCC,1]44p123sFFPPPF|NN1000","1m16p1126sWCFPPP|NN0000","大三元","tsumo","苹果狼、","q1oBEqdN","Q7PSScV7"
251,95,"[CCC,2][PPP,1]678mWWFFF|SW0000","578m1p467sSWNCPP|SW0000","大三元","ron","cidocron","AjBGPUHe","tb8TT4rq"
252,95,"[CCC,3]12377sFFFPPP|WW0000","7m15p17sEWCFFFPP|WW0000","大三元","ron","GRandom","sppDKnsW","Nf7cLijM"
253,95,"[CCC,3][FFF,2][PPP,2]2344s4s|WE0000","3568m123445sCCFP|WE0000","大三元","ron","花君子","ZZmFetei","Jsg0HYfV"
254,95,"[FFF,1][PPP,3][CCC,1]1123p4p|SN1000","47m1237p2sCCFFPP|SN0000","大三元","tsumo","LACIE","819ELG71","w3LJWH05"
255,95,"[FFF,2][PPP,1]4569pCCC9p|SN0000","49m456p5sCCCFFPP|SN0000","大三元","ron","仓田真白","bkNyopXz","GwRecdHS"
256,95,"[FFF,2][PPP,1]789m99pCCC|WW0000","269m59p36sWCFFPP|WW0000","大三元","ron","傻哥哥","BT5iwHMr","N3gjChKG"
257,95,"[FFF,3][CCC,3]456pWWPPP|NE0000","12m4569pWWCCFFPP|NE0000","大三元","ron","追影","byorfXw2","BobdgYxx"
258,95,"[PPP,1][FFF,2][CCC,2]9m789s9m|WW0000","179m3478p79sNFPP|WW0000","大三元","ron","狂吃狂日","mbDVD5wV","iT0m7QYB"
259,95,"[PPP,2][FFF,1]4446sCCC5s|WS0000","237p44679sNCCCP|WS0000","大三元","ron","AbbyKo","f5sHiznN","Xi1xmzhQ"
260,95,"[PPP,3]44567pCCCFFF|WN0000","36m456p35sECCFPP|WN0000","大三元","ron","萌新99","3WjMHk6N","P2y7S8Fi"
261,95,"[PPP,3][789s,2]77pCCCFFF|WE0000","1477p79sEWNCCFPP|WE0000","大三元","ron","樱华","mhMSg3Qg","vQPRJ90F"
262,95,"[PPP,3][FFF,1][CCC,1]4456p7p|EE0000","3m2456p1279sSCCFP|EE0000","大三元","ron","秋季","MNTaFGdQ","MJGoBbpA"
263,95,"[PPP,3][FFF,3][234p,1]11pCCC|SE0000","6m1137p1468sCFFPP|SE0000","大三元","ron","CHAGA03","hNEQmgMK","RHYWLUjK"
264,94,"119m19p19sESWNCPF|EN1100","169m19p148sESWNC|EN0000","十三幺","tsumo","章无律","8Nxy9k2G","CKCh1tt7"
265,94,"119m19p19sESWNCPF|SE0100","147m129p12sESWNCP|SE0000","十三幺","ron","三门齐","sFpnVN30","1ge8KV6q"
266,94,"119m19p9sESWNCFP1s|WE0100","149m19p259sEWNCFF|WE0000","十三幺","ron","浮光","MzMz95Sk","xGNHx4nu"
267,94,"199m19p19sESNCFPW|WS0100","2m1289p11346sSFP|WS0000","十三幺","ron","九莲老登","eZsNmKdH","x2LY9cRn"
268,94,"19m199p19sEWNCFPS|WE1100","1m12378p11sEWNCFP|WE0000","十三幺","tsumo","三点水","bWXwxkcR","RhuuHKpp"
269,94,"19m19p119sESNCFPW|SW0100","69m19p18sSNNCFPP|SW0000","十三幺","ron","落影折桂","1shUb65y","K2xLmRjn"
270,94,"19m19p19sESNCFPPW|WE0100","1m239p112479sENCF|WE0000","十三幺","ron","麻将小白","n299Fxwr","aPBSrb9i"
271,94,"19m19p19sESNCFPPW|WN0100","16m18p259sESNCFP|WN0000","十三幺","ron","番茄不能炒蛋","mfTZ5eQX","NJs63HWF"
272,94,"19m19p19sESWNCPPF|EW1100","1678m249p19sEWNP|EW0000","十三幺","tsumo","alaya23","gaHB4QjF","dDkg94Pz"
273,94,"19m19p19sEWNCFPPS|SS1000","1479m159p1599sCP|SS0000","十三幺","tsumo","蓝十","Q40mCVik","Z3W9hJG8"
274,94,"19m19p19sSWNCFPPE|EW0100","15m189p14sSNCFPP|EW0000","十三幺","ron","小笨鸟","b7dxxKoV","WGfg19kX"
275,94,"19m1p19sEESWNCFP9p|NW0100","369m27p19sESWCFP|NW0000","十三幺","ron","浮光","MzMz95Sk","Rc0fVJ3e"
276,94,"19m9p19sESWNCFPP1p|ES1000","1249m67p239sENCP|ES0000","十三幺","tsumo","逃课的安","pqGxXtBq","q2pQFfRi"
277,94,"345p11sCCFFFPPPC|NS0000","3m3459p47sCFFPPP|NS0000","大三元","ron","小熊摊手","xWvTxdsb","327AZvvh"
278,94,"44555666m22233p4m|SN1000","4556m22235p7sENP|SN0000","四暗刻、一色三节高","tsumo","sdmt","XZE4kPHS","TurT2AKv"
279,94,"555m77p66677888s7s|NW1000","14557m57p4668sEN|NW0000","四暗刻、一色三节高","tsumo","麻哥","29ADr5se","fGztLxW1"
280,94,"77p55566677799s7p|EN1000","37m179p5667789sW|EN0000","四暗刻、一色三节高","tsumo","番多多","qq8LfJFg","cwe5i3kf"
281,94,"88m22266p222666s8m|ES1000","12488m2268p2469s|ES0000","四暗刻、全双刻","tsumo","专打Jencese","HoCgYxbV","EpCinX7G"
282,94,"[2222s]4445556668p8p|SE0000","145m444667p122sEC|SE0000","四暗刻、一色三节高","ron","猫头鹰","c95crgvL","w3LFhLdd"
283,94,"[9999p,6][1111s,5][6666p][7777p,6]7s7s|SW0000","4m666799p116sNCP|SW0000","四杠","ron","张张进张","5jR4n2J1","4ybkWpGJ"
284,94,"[CCC,1][FFF,1]11456pPPP|EE0000","23m11458p69sCFFPP|EE0000","大三元","ron","Weldony","9QjkjzCd","dTeBix1e"
285,94,"[CCCC,7][FFF,3][PPP,2]789m8p8p|EE0000","578m58p26sNCCFFPP|EE0000","大三元","ron","威震逍遥津","WYKLY0wG","nqZjgm73"
286,94,"[EEE,1]444pCCCFPPPF|NN0000","3m69p57sEESCCPPP|NN0000","小三元","ron","水色如烟","KbmeW6ER","PbSnx3Sy"
287,94,"[EEE,3][WWW,3][NNN,2][CCCC,5]PP|SS0010","36m113p249sEWNCP|SS0000","字一色","ron","武小玲","tmRtSRun","45N9TEi5"
288,94,"[FFF,1][PPPP]333m333pCC|WS0000","359m33p79sESWCFP|WS0000","小三元","ron","闪电云","9SDzgpLS","aSddP2mL"
289,94,"[NNN,2][WWW,2]55sEEESSS|SW0000","68p5577sEESWWNN|SW0000","大四喜","ron","bonbujour","j70yi1sj","s0b2MfKj"
290,94,"[PPP,2][FFF,2]11m123sCCC|SS0000","1124m4p237sECCFF|SS0000","大三元","ron","看雪飘过","WPsjXNpL","s3GGTaf2"
291,93,"1112224455599m9m|NN1000","112255m2468p29sE|NN0000","四暗刻、清一色","tsumo","山丹丹开花","ENbgMfTU","L85gCmEY"
292,93,"119m19p19sEWNCFPS|SS0100","15m179p269sEWNCF|SS0000","十三幺","ron","泡哥","X8nVocTv","xQu6Xj5a"
293,93,"119m19p19sEWNCFPS|SW0100","137m17p16sEWWNCP|SW0000","十三幺","ron","一只柠檬","Zi68HmQ5","d0SQetja"
294,93,"119m19p9sESWNCFP1s|EN0100","49m178p49sESWNCF|EN0000","十三幺","ron","全求人","v1WMFNaR","WuJeMLTw"
295,93,"119m1p19sESWNCFP9p|WE0000","1m468p167sESWNCFP|WE0000","十三幺","ron","一碗小甜粥","sVzazfyn","6NAXJdeU"
296,93,"119m9p19sESWNCFP1p|ES0100","299m479p455sENCP|ES0000","十三幺","ron","蜗牛","wwH9eo5t","NJ6Z7shk"
297,93,"123666mCCCFPPPF|NE1000","1236689m5p6sECCPP|NE0000","小三元","tsumo","水墨","TP9amo4V","5e1CLFyc"
298,93,"123666mCCCFPPPF|NE1000","1236689m5p6sECCPP|NE0000","小三元","tsumo","水墨","TP9amo4V","5e1CLFyc"
299,93,"199m19p19sESWCFPN|SW0100","139m1289p19sESSF|SW0000","十三幺","ron","只打八万","c7YNgemE","YLyK6j3e"
300,93,"199m19p19sSWNCFPE|NN0100","25669m9p18sWWNCP|NN0000","十三幺","ron","枭风雀庄","32C6J1o3","SF5bwsUK"
301,93,"19m119p19sESWNCPF|WW0100","1m1367p169sESWNC|WW0000","十三幺","ron","蓝十","Q40mCVik","aGEYkCmf"
302,93,"19m119p1sESWNCFP9s|WS0100","179m11259p1sESWC|WS0000","十三幺","ron","雨萌小小酱","wXv1sNUz","gW5B4jXA"
303,93,"19m119p9sESWNCFP1s|EW0100","358m89p5sESNNCFP|EW0000","十三幺","ron","benzene","6N8tN6kU","Wh5yWWdk"
304,93,"19m199p9sESWNCFP1s|NW0100","679m1899p29sESWN|NW0000","十三幺","ron","白茉晴","fkthxfM8","4EufNTwk"
305,93,"19m19p119sESWCFPN|EW0100","12m12p469sESWCFP|EW0000","十三幺","ron","萌新大黄蜂","WaDatk0w","G2joNGCN"
306,93,"19m19p119sESWCFPN|EW0100","12m12p469sESWCFP|EW0000","十三幺","ron","萌新大黄蜂","WaDatk0w","G2joNGCN"
307,93,"19m19p119sESWCFPN|SN1100","48m116899p19sCFP|SN0000","十三幺","tsumo","Darker","Jyq12EVe","cDMEpVmC"
308,93,"19m19p11sESWNCFP9s|WE0000","279m169p1467sWNCF|WE0000","十三幺","ron","kabidesu","8SiX3Pzw","GwUVAbGm"
309,93,"19m19p199sESNCFPW|SS1100","189m22369p1sESCP|SS0000","十三幺","tsumo","絲絲","1LphXvXc","5JrWVZCD"
310,93,"19m19p19sESNCFPPW|NE1000","1579m1477p1679sFP|NE0000","十三幺","tsumo","PetrCech","0qfhyQGi","a41kye19"
311,93,"19m19p19sESWCCFPN|WW1100","189m123p1279sEWC|WW0000","十三幺","tsumo","国标新手求教","6e7gL7jB","4Y0tze7d"
312,93,"19m19p19sESWNCCFP|WN1000","1459m1p159sEWNCF|WN0000","十三幺","tsumo","酒巷清风","2N9YvRrL","i9o4hF6z"
313,93,"19m19p19sESWNFFPC|NN0100","6m44p11346sESWNP|NN0000","十三幺","ron","alaya23","gaHB4QjF","dajDtRzL"
314,93,"19m19p19sESWNFPPC|NS0100","36m49p19sESWNFPP|NS0000","十三幺","ron","枭风雀庄","32C6J1o3","ottUZTVg"
315,93,"19m19p9sESWNCFPP1s|NN0100","149m89p2338sEWCP|NN0000","十三幺","ron","炙易狐","0GNDQ64K","nNxAmndx"
316,93,"19m1p19sEESWNCFP9p|EE1000","179m1p34569sESWCP|EE0000","十三幺","tsumo","Jencese","fVSRiMYY","EQViH6Xm"
317,93,"19m9p19sESWNCFFP1p|NN0100","1559m49p6sSNNCFP|NN0000","十三幺","ron","CHAGA07","WySi0ZjP","WWeix2Bo"
318,93,"1m19p199sESWNCFP9m|EE0100","17m17p1799sEEWNCF|EE0000","十三幺","ron","根号88","ApcYsfXu","mjH4j56D"
319,93,"666m222p4466888s6s|WW1000","68m6p1267888sENC|WW0000","四暗刻、全双刻","tsumo","逝幻境霰幕","vS0xp30V","g2Fv29Ue"
320,93,"[2222m,2][3333m][5555m]1166m1m|SE0000","1233358m469p15sWC|SE0000","三杠、清一色、一色三节高","ron","秋玲","g4siRZjQ","2tLgFZwu"
321,93,"[234s,1][666s,2]2488sFFF3s|NS0000","7m12p446678sEFFP|NS0000","绿一色","ron","这牌听啥啊","rTTUE7ha","MuozbQqo"
322,93,"[234s,3]23466888sFF6s|SE1000","6m12289p234688sFF|SE0000","绿一色","tsumo","小笨鸟","b7dxxKoV","3oBx7Xhe"
323,93,"[234s,3][666s,2][234s,2]44sFFF|SW0000","19m379p34456sFFP|SW0000","绿一色","ron","鸟苷三磷酸","tLFW3pyD","kmkKrnZw"
324,93,"[6666s,6][FFF,3]2344488s8s|SE0000","156m33p2444668sFF|SE0000","绿一色","ron","御无双","anUqFLT9","PY00SG1Q"
325,93,"[666s,2][333s,1][234s,3]888sFF|SE1000","48m8p12356688sEWC|SE0000","绿一色","tsumo","浮生小朋友","RrPD5g0E","QMUafU3h"
326,93,"[678s,3][FFF,2]8mCCCPPP8m|SE0000","1468m36p26sCCFFPP|SE0000","大三元","ron","哎呦我去","KGGZig26","cgKkSKUQ"
327,93,"[CCC,2]222p11sFFPPP1s|SW1000","89m1229p126sCCPP|SW0000","小三元","tsumo","桃蹊柳陌","39GcGHQV","gwiDFGFa"
328,93,"[CCC,3][789s,1][FFF,3]2pPPP2p|SW1000","8m28p11789sECPPP|SW0000","大三元","tsumo","多元外卷人","bYYD8ZRr","ayt0UVxr"
329,93,"[CCCC,5][FFF,1][234m,1]77sPPP|WN1000","34m58p378sSCCFFP|WN0000","大三元","tsumo","余光","bwrahuxU","kkDcj640"
330,93,"[FFF,2]2344666888s4s|NS1000","356p2344666sCFF|NS0000","绿一色","tsumo","云出无心","GHHbmkzt","EE9UBHi7"
331,93,"[FFF,2][666s,2][234s,3][234s,2]8s8s|EN1000","7m148p234668sEWF|EN0000","绿一色","tsumo","襄下樊人","qX2Vddw6","2HrZ8vV3"
332,93,"[PPP,1][CCC,2][FFF,3]56p55s7p|SW0000","4m5668p55sNCFFPP|SW0000","大三元","ron","尚恩","YPSCCmCv","6wMyzz9i"
333,93,"[PPP,3][FFF,3]22m234sCCC|NS1000","124m3569p23sNCFP|NS0000","大三元","tsumo","识时务者","XCFWKB1y","JR2AApzb"
334,93,"[PPP,3][FFFF,5]55m678pCCC|WE1000","1568m12678p4sCFPP|WE0000","大三元","tsumo","白夜撞鬼","akXagQ3r","s7Ug1twW"
335,92,"1112345678999p7p|NE0000","8m136799p245sESWP|NE0000","九莲宝灯","ron","催春暮","TPCcNfny","iN6uHbHr"
