Rank,Value,Player Name,Rounds,Player ID
1,4.75,"吃货小飞飞",16,"5trtVX0q"
2,4.666666666666667,"幽幽不玩游戏",11,"kMJH5cPt"
3,4.5,"Enmity",16,"u8ZMnm3M"
4,4.5,"Flygon",16,"CXhCjiu0"
5,4.5,"inequality",16,"h2ny3Rvp"
6,4.5,"无色之绿",16,"LEEpZjom"
7,4.416666666666667,"竹夜卿",48,"MQQrCuby"
8,4.25,"ALF",16,"eGGvUfdA"
9,4.25,"孤高の撃墜王",16,"sc7YSdSy"
10,4.25,"枪匠",16,"bBA04ohU"
11,4.25,"湖惑",16,"RDLCyYFc"
12,4.25,"白水哩",16,"mNH7baXD"
13,4.25,"蒙多医生",16,"BsmnJRZ1"
14,4.125,"春落华庭",32,"AqHKhbTg"
15,4.125,"超级错和王",32,"7ELCKcWA"
16,4.0,"MasterSun",16,"Kxq4Xxnm"
17,4.0,"cos是我的神",24,"uC2NJKK3"
18,4.0,"empty",16,"4vwdseNP"
19,4.0,"nmleague",32,"iSzY5fRM"
20,4.0,"ocean",16,"qeiK6bst"
21,4.0,"xxhhww",16,"qHJa32NB"
22,4.0,"兆庭",16,"7A8PNDQo"
23,4.0,"冰梦",36,"7NKPv6dS"
24,4.0,"小邓",16,"Ucv2M9LL"
25,4.0,"御无双流牌手",16,"UmyLGq5C"
26,4.0,"白睟",16,"5xKu15GX"
27,4.0,"这是一个小号",16,"KBjrexsz"
28,4.0,"邦德",16,"qV6KkPzn"
29,4.0,"阿橘ovo",16,"1UNMiig6"
30,4.0,"陌",16,"SQh4p0T6"
31,3.95,"rapid",80,"QV56m24D"
32,3.9166666666666665,"kanzaki",48,"Kp4QoSaJ"
33,3.9166666666666665,"白晓异",48,"XXiLBSrd"
34,3.875,"CVB123",64,"bHBvhepS"
35,3.875,"ck053",32,"iKUViinY"
36,3.875,"内部号",32,"53ZT7R2G"
37,3.875,"小林刚",32,"GHHaP4Fx"
38,3.8333333333333335,"Muigi",48,"TYrRjdW4"
39,3.8333333333333335,"仓鼠",48,"EQVbKkuC"
40,3.8333333333333335,"叨叨",48,"9qUEFiEM"
41,3.8333333333333335,"大年糕",96,"TYuTLXYe"
42,3.8333333333333335,"幻遥",48,"vUcXNC49"
43,3.772727272727273,"小林",88,"FMi9H0ar"
44,3.75,"Appr2025",32,"qefHVj0j"
45,3.75,"B站23129315",32,"kPzNsmp7"
46,3.75,"CHAGA99",32,"MShck8fs"
47,3.75,"CHAGAJencese",48,"aDadsQX0"
48,3.75,"Ghost",46,"0eytbyth"
49,3.75,"Heisenberg",16,"H8NCG3Vh"
50,3.75,"IO",16,"4M2VCVu0"
51,3.75,"Kitaura",32,"HtcTR2yn"
52,3.75,"Monophenol",16,"pZvYKkk8"
53,3.75,"Natsumi",16,"EaJxcQrQ"
54,3.75,"TenyZ",16,"HFSiEKFp"
55,3.75,"WeakBot1",80,"2duq7DrZ"
56,3.75,"Xx33272",16,"BEguRBb1"
57,3.75,"ZJU国标分队2",16,"QuFvGm65"
58,3.75,"abi",16,"MansYQFq"
59,3.75,"annayanami",16,"2ihC64v5"
60,3.75,"chopper",16,"rZY3JsVi"
61,3.75,"ghz的打手",16,"eTeWwNAW"
62,3.75,"minji",16,"Kxt68qev"
