======================================
Ranking by: stats.average_step_seconds
Generated at: 2026-01-09 02:19:14
Total players: 2080
======================================

Rank  	Value       	Player Name              	Rounds
------------------------------------------------------------
1     	2.5866974805147733	倪振民                	176
2     	2.2924556765163304	大苏打                	80
3     	2.210821705426356	Amazingkitty             	96
4     	2.196925694444445	wqy                      	48
5     	2.17101184346035	majongmaster             	64
6     	2.162515151515151	Lily0818                 	32
7     	2.10575572519084	zozoko                   	16
8     	2.0997172995780593	C8H16O2                  	16
9     	2.095225883115481	YC大人                 	304
10    	2.0148180212014135	ツィさん             	16
11    	2.005922746781116	大胡                   	9
12    	2.0057967662709792	payphone121              	160
13    	2.0040997237970646	spmagic                  	452
14    	2.0032484599589324	低调玩家             	16
15    	2.0027179521056997	投影机                	1008
16    	1.9947532203389824	PtF6                     	52
17    	1.9902100313479625	郑美云                	32
18    	1.9755736842105263	柯西不再忧伤       	16
19    	1.9633288016979265	佟佟家                	1767
20    	1.9555292777941162	往事随风             	6380
21    	1.9479306431273642	silence                  	24
22    	1.9343483365949121	音樂                   	16
23    	1.930989837398374	小武                   	48
24    	1.9306140483383678	圣堂萌新0v0          	80
25    	1.9162233009708731	叽噜咕噜叽喽       	32
26    	1.9159725050916496	九方                   	32
27    	1.9146171657919113	Middag                   	96
28    	1.9058172230898889	kay                      	2169
29    	1.9036771120581595	DSCH                     	128
30    	1.9013462118356574	一叶菩提             	176
31    	1.8963135652347254	夜幕遮星             	336
32    	1.8873651315789475	Jing                     	32
33    	1.8773223140495867	nmleague                 	16
34    	1.8752970728850007	只打八万             	4221
35    	1.873974365346382	封兽鵺                	1817
36    	1.8729134466769704	佤熙紫                	176
37    	1.8728098334655023	阿杰                   	208
38    	1.871387002824198	火哥                   	2270
39    	1.8681677148846956	Forenal                  	16
40    	1.8635541298267506	小天天err             	2625
41    	1.8573575389728871	游侠小卢             	1824
42    	1.8503451724778606	凯旋之愿             	1096
43    	1.848512794172583	随机性2025            	336
44    	1.8449915492957747	Yerin0626                	80
45    	1.8436352941176468	垒浮云                	32
46    	1.8364131489132391	日晕月华KBG          	176
47    	1.8330376554381436	amyhu                    	556
48    	1.831434152279771	老张                   	288
49    	1.8312583316900022	SansGotLazy              	160
50    	1.8302087136164067	lhwayne                  	4440
51    	1.828713143872114	Ambitious荣             	32
52    	1.8126938177412446	laitedao                 	6119
53    	1.8108103225806453	铁铳王                	128
54    	1.8051071183337146	鳗鱼                   	144
55    	1.8038186834094374	微光                   	176
56    	1.8032818930041152	老杨的小可爱       	16
57    	1.8022159238988795	孟丽莉                	1250
58    	1.8015000372353174	和平                   	4052
59    	1.8012256878407507	Fred460                  	256
60    	1.7901074285714254	格兰                   	4124
61    	1.7899023199023196	信教的coke            	24
62    	1.78883624606781	元喜莲                	1904
63    	1.787752491318133	落殇                   	848
64    	1.7876430707876372	北京九十四中       	32
65    	1.7873094888469347	李风乐                	1392
66    	1.7835875576036866	Xx33272                  	16
67    	1.7801793851034868	四喜                   	4459
68    	1.7675022421524662	胡牌大师             	16
69    	1.7631812811519292	下张自摸真君       	176
70    	1.7620511703864994	婚庆老戴             	64
71    	1.759439229403504	小笨鸟                	6224
72    	1.756610983981693	哇哇哇                	16
73    	1.753736358599719	尾翼                   	2571
74    	1.752566733067729	xxcnoba                  	32
75    	1.751469696969697	三横一棵树          	16
76    	1.7498963269200196	leenlover                	208
77    	1.7476095443386688	傻哥哥                	9842
78    	1.7443636363636366	幽幽不玩游戏       	11
79    	1.7359554140127391	小香茶                	448
80    	1.7356028366533818	菠萝吹雪             	3024
81    	1.7321994240460756	皮卡丘欣             	48
82    	1.7291617603330363	帽帽                   	112
83    	1.7265025515864212	Colanya                  	148
84    	1.725921875 	蒙多医生             	16
85    	1.725375763747454	ad2                      	32
86    	1.7245891544117642	小张同学3            	32
87    	1.7243822444041117	茗清流                	3356
88    	1.7238762168952162	青春的尾巴          	608
89    	1.722492970164237	翔鹰                   	3536
90    	1.72198278416233	御剑飞行             	1487
91    	1.7154282920469361	十二归一七对       	48
92    	1.713751233958539	xxxr                     	32
93    	1.7134702926066576	圓點儿                	896
94    	1.7133685770750984	迫落                   	32
95    	1.7098184831009533	霸霸                   	4508
96    	1.7088018018018014	饼蛙                   	16
97    	1.7076782638649675	蒹葭                   	96
98    	1.7057841856587002	不爱飞的雕          	240
99    	1.7049490827405458	刘十六                	80
100   	1.7048036941580749	Lemo                     	80
101   	1.7044358727097402	天清一色             	32
102   	1.703148148148148	三倍滿自動姬       	16
103   	1.7007640092185572	秀儿稳                	1552
104   	1.7003676456143806	夏威夷吉他手       	976
105   	1.700275522348586	Falcao                   	488
106   	1.6985409276944063	ikun                     	48
107   	1.6937943181818182	Kayla773                 	32
108   	1.6888509782788936	陈光耀cgy             	815
109   	1.6883013833992093	超收敛模形式       	32
110   	1.6875198041068808	Hinson                   	1200
111   	1.6847235023041474	上吉                   	16
112   	1.6801081492764656	big7long8                	128
113   	1.6796840009841403	Tibochapo                	1488
114   	1.6718516044375518	萌新小笨鸟          	287
115   	1.6711297761700195	石井一马             	144
116   	1.6704223300970875	常陆茉子             	16
117   	1.6703465346534654	minji                    	16
118   	1.67014192204701	玄黄q                  	112
119   	1.6686572684536454	Panda棒哒              	2864
120   	1.66517569825734	捷尔                   	144
121   	1.6645938933892261	Chaojisamoye             	587
122   	1.66308008008008	老王c                  	32
123   	1.6622046694305042	River                    	432
124   	1.6621965364805118	哆啦a                  	824
125   	1.6610277777777778	天然法师             	16
126   	1.6593900379430062	山浩然                	2040
127   	1.6577474771744354	M81                      	136
128   	1.6576754507628297	学霸小黑             	24
129   	1.6546999621642071	慕容彰                	84
130   	1.653758424053914	三无将                	64
131   	1.6515780487804876	喵喵机                	16
132   	1.6511022270901787	决绝玦                	88
133   	1.6497279046673285	本智                   	32
134   	1.6488322351748603	萧十三                	64
135   	1.64838455634019	洋山芋炒咸鱼       	208
136   	1.647882096069869	丛寂                   	16
137   	1.6475023148148151	阿藥                   	16
138   	1.647023227383863	linkmoon                 	24
