======================================
Ranking by: stats.avg_starting_shanten
Generated at: 2026-01-09 02:19:38
Total players: 2080
======================================

Rank  	Value       	Player Name              	Rounds
167   	3.8229166666666665	我爱看评论          	96
168   	3.8229166666666665	sakura                   	96
169   	3.8194444444444446	小天                   	144
170   	3.81875     	花顺双抽             	160
171   	3.8125      	黄英似蛭             	48
172   	3.8125      	闪电                   	16
173   	3.8125      	送分达人             	272
174   	3.8125      	蜗牛                   	80
175   	3.8125      	蒲原智美             	16
176   	3.8125      	草莓                   	128
177   	3.8125      	花见由里             	80
178   	3.8125      	老毛                   	16
179   	3.8125      	籉譱䝁                	16
180   	3.8125      	科大                   	112
181   	3.8125      	神里绫华             	96
182   	3.8125      	白晓异                	48
183   	3.8125      	璃小玖                	32
184   	3.8125      	琵琶鱼                	16
185   	3.8125      	灰色轨迹             	48
186   	3.8125      	梁玉苏                	16
187   	3.8125      	桔梗                   	32
188   	3.8125      	朋也                   	32
189   	3.8125      	晨曦                   	16
190   	3.8125      	日鳴                   	32
191   	3.8125      	忆相逢连六          	128
192   	3.8125      	天然法师             	16
193   	3.8125      	喵喵麦当当          	16
194   	3.8125      	吱吱sama               	64
195   	3.8125      	叁壹                   	112
196   	3.8125      	内部号                	32
197   	3.8125      	光睿                   	16
198   	3.8125      	不破爱花             	16
199   	3.8125      	一蓑烟雨             	64
200   	3.8125      	x5y6                     	16
201   	3.8125      	kiriha                   	48
202   	3.8125      	Simon919                 	256
203   	3.8125      	SDU麻雀                	176
204   	3.8125      	PlanB                    	192
205   	3.8125      	Pius                     	16
206   	3.8125      	LuckyGame                	32
207   	3.8125      	Irkalla                  	112
208   	3.8072916666666665	北条沙都子          	192
209   	3.8046875   	九九ya                 	256
210   	3.8035714285714284	小白ali                	224
211   	3.8028846153846154	卿湫                   	208
212   	3.8026315789473686	kjd                      	304
213   	3.8020833333333335	御无双                	96
214   	3.8020833333333335	千叶流心             	96
215   	3.8020833333333335	Ramoynd                  	96
216   	3.8020833333333335	NenNen                   	96
217   	3.796875    	听牌即立             	64
218   	3.794642857142857	风林舞破             	112
219   	3.7916666666666665	咕咕咕咕法法       	48
220   	3.7916666666666665	企鹅                   	48
221   	3.7916666666666665	lynchblax84              	48
222   	3.7905405405405403	OFDM调制解调         	148
223   	3.7890625   	青岛浪速小梁       	256
224   	3.7875      	缄默德克萨斯       	80
225   	3.7875      	红酒味汽水          	160
226   	3.7875      	第二片天             	80
227   	3.7875      	Mercy                    	160
228   	3.7864583333333335	巧思                   	192
229   	3.7857142857142856	Alphabeb                 	112
230   	3.785326086956522	风语                   	368
231   	3.78525641025641	NaOH                     	312
232   	3.7850467289719627	国标小唐             	107
233   	3.784090909090909	qima                     	176
234   	3.784090909090909	ofor                     	88
235   	3.7836538461538463	只和三步高          	208
236   	3.781456953642384	gggmouseee               	302
237   	3.78125     	超超可爱岁岁       	160
238   	3.78125     	熊哥                   	32
239   	3.78125     	小小鹿                	32
240   	3.78125     	呜喵喵喵恒          	64
241   	3.78125     	biu                      	96
242   	3.78125     	StaticFish               	160
243   	3.780821917808219	凉风                   	146
244   	3.7788461538461537	阿杰                   	208
245   	3.778409090909091	電腦                   	176
246   	3.778125    	十鬼蛇沃玛          	320
247   	3.7767857142857144	河提                   	112
248   	3.7767857142857144	帽帽                   	112
249   	3.7767857142857144	墨色清涟池          	112
250   	3.7767857142857144	gadfly0512               	224
251   	3.7761394101876675	平宫杏奈             	746
252   	3.775       	羽之野                	160
253   	3.775       	开一不心的          	320
254   	3.775       	小熊老师丶安       	80
255   	3.775       	宗门天骄             	160
256   	3.7734375   	milkdragon               	128
257   	3.7728658536585367	小熊                   	656
258   	3.7708333333333335	蔓蔓蔓蔓蔓蔓       	48
259   	3.7708333333333335	根号88                 	96
260   	3.7708333333333335	八云紫幽幽子       	528
261   	3.7708333333333335	克己小75              	48
262   	3.7708333333333335	仔恒                   	48
263   	3.7708333333333335	一叶知秋             	48
264   	3.7708333333333335	ohmymy                   	96
265   	3.767857142857143	深海大菠萝          	112
266   	3.765625    	羡鱼                   	192
267   	3.765625    	欧鳇要下头          	128
268   	3.765625    	技零运十             	256
269   	3.765625    	不求人                	64
270   	3.765625    	SfArccos                 	128
271   	3.765625    	Bourbon                  	128
272   	3.7655502392344498	不断樱花             	209
273   	3.764423076923077	知不可乎             	416
274   	3.764423076923077	乾澜                   	208
275   	3.763888888888889	求求人                	144
276   	3.763392857142857	YK712                    	224
277   	3.7625      	璀璨猎户座          	160
278   	3.7625      	圣堂萌新0v0          	80
279   	3.76171875  	傻逼克高手          	256
280   	3.761467889908257	晚终                   	109
281   	3.7606679035250465	番茄不能炒蛋       	539
282   	3.7604166666666665	琉璃宇宙             	192
283   	3.7604166666666665	幻尘                   	384
284   	3.7604166666666665	TNTzhakiller             	96
285   	3.7596153846153846	林中及时雨          	208
286   	3.7589285714285716	苝风肃霄             	112
287   	3.7589285714285716	竹井久                	112
288   	3.7583333333333333	球1234                  	120
289   	3.7583333333333333	ExplodedCT               	240
290   	3.7578125   	Fayehe                   	128
291   	3.7569444444444446	V0Ghost                  	144
292   	3.7560975609756095	月与星空             	82
293   	3.7552083333333335	超硬大七星          	192
294   	3.7552083333333335	启丶沉卑             	576
295   	3.7544642857142856	QryanQ                   	224
296   	3.754032258064516	TedZhu                   	496
297   	3.7535714285714286	Silence                  	560
298   	3.753086419753086	dama王                  	81
299   	3.752232142857143	angu                     	448
300   	3.7508169934640523	时尚                   	1224
301   	3.75        	陈亚轩                	48
302   	3.75        	阿瑟！                	16
303   	3.75        	闲月                   	48
304   	3.75        	长崎爱爱音          	64
305   	3.75        	遠坂見月             	64
306   	3.75        	路辺三條             	32
307   	3.75        	说说                   	176
308   	3.75        	萧十三                	64
309   	3.75        	萌薪996                	16
310   	3.75        	萌新大土松          	80
311   	3.75        	花散峪山人考       	16
312   	3.75        	芋头                   	64
313   	3.75        	老杨的小可爱       	16
314   	3.75        	空Jian                  	16
315   	3.75        	甜橙                   	16
316   	3.75        	玖骍                   	128
317   	3.75        	漳州Cody               	64
318   	3.75        	渣男饼干             	80
319   	3.75        	流子                   	16
320   	3.75        	洋Cc                    	80
321   	3.75        	正气明凝             	64
322   	3.75        	我最逍遥             	64
323   	3.75        	快乐风男             	16
324   	3.75        	庄寒雁                	96
325   	3.75        	小凯凯                	64
326   	3.75        	婚庆老戴             	64
327   	3.75        	天北                   	32
328   	3.75        	大话王                	48
329   	3.75        	大苏打                	80
330   	3.75        	塔利雅                	80
331   	3.75        	哼哼总                	16
332   	3.75        	周周                   	32
333   	3.75        	吃了再日             	288
334   	3.75        	叶凡                   	16
335   	3.75        	只道是寻常          	16
336   	3.75        	叨叨                   	48
337   	3.75        	千早愛音             	80
338   	3.75        	冥小喵                	32
339   	3.75        	全大风风             	320
340   	3.75        	上亿小弟             	16
341   	3.75        	三色同顺             	80
342   	3.75        	七七yaa                	112
343   	3.75        	znev                     	64
344   	3.75        	stonemason               	64
345   	3.75        	sauluo                   	16
346   	3.75        	rainhard                 	16
347   	3.75        	owen2006                 	32
348   	3.75        	lwyshawn                 	32
349   	3.75        	linkenwu                 	112
350   	3.75        	kaorukoL0Ve              	16
351   	3.75        	jtnmsl                   	16
352   	3.75        	eco                      	16
353   	3.75        	cos是我的神          	16
354   	3.75        	Shawn                    	32
355   	3.75        	Shangbeiya               	48
356   	3.75        	PreB                     	16
357   	3.75        	Neam                     	40
358   	3.75        	Muigi                    	48
359   	3.75        	Kay1212                  	48
360   	3.75        	Haru                     	32
361   	3.75        	Han韩                   	16
362   	3.75        	FelixCs                  	16
363   	3.75        	CHAGA120                 	80
364   	3.75        	Benson0304               	16
365   	3.75        	ALF                      	16
366   	3.7485119047619047	M16A1                    	672
367   	3.7475961538461537	小傻子                	416
368   	3.7463235294117645	妙也                   	272
369   	3.74609375  	hamburger                	256
370   	3.74609375  	LogY                     	256
371   	3.746031746031746	沉江月                	126
372   	3.745222929936306	鸡肉拉伤             	157
373   	3.7449324324324325	nsbs                     	592
374   	3.7447916666666665	破游全是bug          	192
375   	3.7447916666666665	杜衡                   	192
376   	3.743951612903226	ftedh                    	496
377   	3.74375     	肉布斯                	160
378   	3.74375     	南法信法南          	320
379   	3.74375     	JerryK                   	160
380   	3.7434210526315788	h0081324                 	304
381   	3.7430555555555554	云淡风轻             	144
382   	3.7430232558139536	麦麦                   	860
383   	3.742857142857143	齹                      	105
384   	3.742857142857143	聆风秋邻             	735
385   	3.742248062015504	悲秋客                	516
386   	3.7421875   	臭象                   	128
387   	3.7419354838709675	嗯不好不可以       	124
388   	3.7416666666666667	月明天朗             	240
389   	3.7416666666666667	littleWeber              	240
390   	3.7415254237288136	大哥大的小弟       	708
391   	3.7410714285714284	ATTACKER75               	224
392   	3.740831295843521	GBAWA                    	409
393   	3.7403846153846154	数错番紫乌龟       	208
394   	3.7395833333333335	西楚霸王某某       	192
