======================================
Deal-in Rate (放铳率) = deal_in_count / total_rounds
Generated at: 2026-01-09 00:24:36
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
167   	25.00%      	Tin仔                   	32
168   	25.00%      	TinkerBell               	16
169   	25.00%      	Tairitsu                 	80
170   	25.00%      	TMT                      	16
171   	25.00%      	THRIVE                   	48
172   	25.00%      	SpireSleeps              	32
173   	25.00%      	Simon919                 	192
174   	25.00%      	Shawn                    	32
175   	25.00%      	Rain                     	32
176   	25.00%      	Oscar                    	16
177   	25.00%      	Neam                     	8
178   	25.00%      	Natsumi                  	16
179   	25.00%      	Jesse                    	32
180   	25.00%      	Jayden1129               	16
181   	25.00%      	Enmity                   	16
182   	25.00%      	Aurora                   	48
183   	25.00%      	ALF                      	16
184   	24.38%      	肉布斯                	160
185   	24.31%      	胖子zzz                	144
186   	24.26%      	妙也                   	272
187   	24.26%      	InvisibleP               	272
188   	24.11%      	一色儿                	224
189   	24.11%      	liqiu                    	224
190   	24.11%      	ATTACKER75               	224
191   	23.96%      	小米                   	96
192   	23.96%      	凤梨酥xxx             	96
193   	23.96%      	imv                      	96
194   	23.86%      	渣不多德勒          	176
195   	23.86%      	浅葱狐冢             	176
196   	23.86%      	欧尼酱                	176
197   	23.75%      	雪哥                   	80
198   	23.75%      	第二片天             	80
199   	23.75%      	捷尔                   	80
200   	23.75%      	bangdoll                 	160
201   	23.75%      	Satori5                  	80
202   	23.65%      	OFDM调制解调         	148
203   	23.61%      	石井一马             	144
204   	23.61%      	内鬼                   	144
205   	23.56%      	amyhu                    	348
206   	23.56%      	孤山战士             	208
207   	23.44%      	椢床萧寒             	64
208   	23.44%      	h0081324                 	256
209   	23.33%      	littleWeber              	240
210   	23.30%      	羽墨                   	176
211   	23.26%      	王大星                	288
212   	23.26%      	gggmouseee               	288
213   	23.21%      	静巧                   	112
214   	23.21%      	软趴趴                	112
215   	23.21%      	科大                   	112
216   	23.21%      	dorie                    	336
217   	23.21%      	Vorak                    	112
218   	22.97%      	nsbs                     	592
219   	22.92%      	风雨两重天          	48
220   	22.92%      	路可王                	48
221   	22.92%      	自动点炮机          	48
222   	22.92%      	报告精华             	48
223   	22.92%      	御无双                	96
224   	22.92%      	小绿帽                	48
225   	22.92%      	大年糕                	48
226   	22.92%      	墨色清涟池          	96
227   	22.92%      	卷谁呢                	48
228   	22.92%      	初阳                   	48
229   	22.92%      	凛风寒梅             	96
230   	22.92%      	仔恒                   	48
231   	22.92%      	云中观山客          	48
232   	22.92%      	一色三龙会          	48
233   	22.92%      	一叶知秋             	48
234   	22.92%      	yyyyyyh                  	48
235   	22.92%      	wqy                      	48
236   	22.92%      	wardell                  	48
237   	22.92%      	suzuya                   	48
238   	22.92%      	OGGG                     	144
239   	22.92%      	CKLm                     	96
240   	22.87%      	悲秋客                	516
241   	22.73%      	XXHYX                    	176
242   	22.70%      	AbbyKo                   	304
243   	22.69%      	luocl                    	216
244   	22.66%      	潮汐獵人             	128
245   	22.62%      	夜幕遮星             	336
246   	22.62%      	qsw2025                  	336
247   	22.55%      	蒙题王                	368
248   	22.50%      	桃子                   	160
249   	22.50%      	三暗刻刻刻          	80
250   	22.50%      	Melacau                  	80
251   	22.50%      	IceCola                  	80
252   	22.50%      	GlassRod                 	80
253   	22.50%      	EndlesS                  	80
254   	22.50%      	Darker                   	80
255   	22.50%      	Attersee                 	320
256   	22.50%      	亲亲要乐奈          	569
257   	22.49%      	GBAWA                    	409
258   	22.22%      	葛天帝                	288
259   	22.22%      	愿樱落时见你       	144
260   	22.22%      	kjd                      	288
261   	22.22%      	WeakBot2                 	72
262   	22.16%      	佤熙紫                	176
263   	22.16%      	zacian                   	176
264   	22.12%      	荆芥特好吃          	208
265   	22.12%      	洋山芋炒咸鱼       	208
266   	22.08%      	提纳里                	240
267   	22.06%      	PureTea                  	68
268   	22.02%      	三百斤小胖熊       	168
269   	21.95%      	月与星空             	82
270   	21.88%      	郑美云                	32
271   	21.88%      	诚                      	64
272   	21.88%      	诗羽                   	32
273   	21.88%      	萌新大黄蜂          	384
274   	21.88%      	老子很帥             	192
275   	21.88%      	秋名山丘比          	32
276   	21.88%      	神里绫华             	32
277   	21.88%      	碰碰胡幺九刻       	64
278   	21.88%      	知不可乎             	416
279   	21.88%      	杨桃巧克力酱       	32
280   	21.88%      	春田太太             	32
281   	21.88%      	我爱看评论          	96
282   	21.88%      	徐北                   	32
283   	21.88%      	庄寒雁                	64
284   	21.88%      	宇笙                   	64
285   	21.88%      	天清一色             	32
286   	21.88%      	嗯好可以行2         	32
287   	21.88%      	加藤黄瓜             	32
288   	21.88%      	与梦随缘喵          	32
289   	21.88%      	zzzsk                    	32
290   	21.88%      	xunshan                  	64
291   	21.88%      	stonemason               	64
292   	21.88%      	qyjwty                   	32
