======================================
Win Rate (和牌率) = win_count / total_rounds
Generated at: 2026-01-09 02:19:49
Total players: 2080
======================================

Rank  	Rate        	Player Name              	Rounds
168   	29.17%      	蔓蔓蔓蔓蔓蔓       	48
169   	29.17%      	菲利                   	96
170   	29.17%      	破灭之魂             	48
171   	29.17%      	白晴                   	96
172   	29.17%      	幽梦一帘             	48
173   	29.17%      	小米                   	96
174   	29.17%      	叨叨                   	48
175   	29.17%      	何苏                   	144
176   	29.17%      	井九清                	48
177   	29.17%      	ccy                      	48
178   	29.17%      	biu                      	96
179   	29.17%      	Shangbeiya               	48
180   	29.17%      	LogicGhost               	192
181   	29.17%      	Kev1n                    	48
182   	29.17%      	INTP                     	336
183   	29.17%      	Amazingkitty             	96
184   	28.97%      	国标小唐             	107
185   	28.91%      	一灯大师             	256
186   	28.87%      	随机性2025            	336
187   	28.85%      	只和三步高          	208
188   	28.85%      	leenlover                	208
189   	28.84%      	YOUGA                    	1328
190   	28.82%      	小萧潇笑             	576
191   	28.80%      	pzhyjz                   	368
192   	28.75%      	自摸全求人          	240
193   	28.75%      	星官之夏             	560
194   	28.75%      	时一时易拾忆       	160
195   	28.75%      	新手村村民          	320
196   	28.75%      	山楂9                  	80
197   	28.75%      	宇笙                   	80
198   	28.75%      	友相伴                	80
199   	28.75%      	千早愛音             	80
200   	28.75%      	Tairitsu                 	80
201   	28.75%      	Lyun                     	240
202   	28.62%      	轻轻的飘             	1824
203   	28.62%      	SCM7716                  	304
204   	28.57%      	苝风肃霄             	112
205   	28.57%      	求道人                	112
206   	28.57%      	qixian96                 	112
207   	28.47%      	类星体                	144
208   	28.46%      	Mikoto                   	1655
209   	28.41%      	月出星河             	820
210   	28.41%      	决绝玦                	88
211   	28.40%      	Jencese                  	7413
212   	28.39%      	kiki                     	944
213   	28.38%      	Serendipity              	1184
214   	28.38%      	理查德                	2192
215   	28.35%      	蓝十                   	1312
216   	28.33%      	月明天朗             	240
217   	28.31%      	NotANumber               	272
218   	28.30%      	Bryce                    	576
219   	28.29%      	丛雨ちゃん          	912
220   	28.18%      	虹村雪                	1700
221   	28.16%      	工口                   	316
222   	28.16%      	小小黑                	174
223   	28.12%      	雀鬼                   	32
224   	28.12%      	阳光牛子             	64
225   	28.12%      	路辺三條             	32
226   	28.12%      	贝瑞塔                	64
227   	28.12%      	皮皮161616             	64
228   	28.12%      	百里                   	32
229   	28.12%      	無番和自摸          	96
230   	28.12%      	枰                      	256
231   	28.12%      	无言清澈之风       	64
232   	28.12%      	手下马上送和       	96
233   	28.12%      	戮默                   	64
234   	28.12%      	幻月符文             	32
235   	28.12%      	小灰灰                	32
236   	28.12%      	天北                   	32
237   	28.12%      	内部号                	32
238   	28.12%      	主播狙击手          	64
239   	28.12%      	不在勿扰             	128
240   	28.12%      	xxcnoba                  	32
241   	28.12%      	softhuang                	32
242   	28.12%      	modayo                   	32
243   	28.12%      	lwyshawn                 	32
244   	28.12%      	linsaiya                 	64
245   	28.12%      	Tilams                   	96
246   	28.12%      	TTT                      	32
247   	28.12%      	SpireSleeps              	32
248   	28.12%      	LuckyGame                	32
249   	28.12%      	B站23129315             	32
250   	28.09%      	这牌听啥啊          	1328
251   	28.08%      	Inf                      	2336
252   	28.07%      	薄荷犬                	4000
253   	28.04%      	泷泽和典             	296
254   	28.03%      	关关雎鸠2024         	2440
255   	28.01%      	多元外卷人          	432
256   	28.00%      	天地不照             	600
257   	28.00%      	玖柒、97              	1568
258   	27.96%      	Koucha                   	608
259   	27.91%      	麦麦                   	860
260   	27.90%      	小香茶                	448
261   	27.88%      	爱の火车票          	1345
262   	27.87%      	豆子鸽                	592
263   	27.86%      	Chadvent                 	384
264   	27.84%      	维尔斯特拉斯       	1232
265   	27.84%      	桂茹                   	352
