======================================
Tsumo-against Rate (被摸率) = tsumo_against_count / total_rounds
Generated at: 2026-01-09 00:24:50
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
170   	25.00%      	狠人大帝             	112
171   	25.00%      	牌搭子                	32
172   	25.00%      	流子                   	16
173   	25.00%      	江大麻将AI           	240
174   	25.00%      	林中及时雨          	176
175   	25.00%      	李早苗                	80
176   	25.00%      	木叶                   	16
177   	25.00%      	朋也                   	32
178   	25.00%      	春米                   	32
179   	25.00%      	明石                   	16
180   	25.00%      	无番胡连六          	16
181   	25.00%      	我们的歌             	16
182   	25.00%      	徐北                   	32
183   	25.00%      	居居                   	32
184   	25.00%      	小武                   	48
185   	25.00%      	小星星星君          	16
186   	25.00%      	小华                   	48
187   	25.00%      	小任好运来          	32
188   	25.00%      	宇笙                   	64
189   	25.00%      	奋豆王                	16
190   	25.00%      	天清一色             	32
191   	25.00%      	大话王                	48
192   	25.00%      	大三元                	32
193   	25.00%      	咕咕咕咕法法       	16
194   	25.00%      	南风                   	32
195   	25.00%      	全大风风             	176
196   	25.00%      	光睿                   	16
197   	25.00%      	何文文大人          	16
198   	25.00%      	仓鼠                   	16
199   	25.00%      	五分发挥de           	96
200   	25.00%      	丛寂                   	16
201   	25.00%      	上亿小弟             	16
202   	25.00%      	三倍滿自動姬       	16
203   	25.00%      	七七yaa                	112
204   	25.00%      	zaqcxy                   	16
205   	25.00%      	xxcnoba                  	16
206   	25.00%      	x5y6                     	16
207   	25.00%      	sugawara                 	176
208   	25.00%      	qqll                     	128
209   	25.00%      	parkloss403              	160
210   	25.00%      	ormisnal                 	32
211   	25.00%      	minji                    	16
212   	25.00%      	konskie                  	8
213   	25.00%      	jzjbest                  	80
214   	25.00%      	hsr                      	16
215   	25.00%      	ck053                    	16
216   	25.00%      	abi                      	16
217   	25.00%      	Weldony                  	16
218   	25.00%      	Tour诺达               	16
219   	25.00%      	Tin仔                   	32
220   	25.00%      	TTT                      	32
221   	25.00%      	TNTzhakiller             	96
222   	25.00%      	Richard71705             	16
223   	25.00%      	Pius                     	16
224   	25.00%      	MC宇宙RS               	132
225   	25.00%      	Kitaura                  	32
226   	25.00%      	Kev1n                    	48
227   	25.00%      	Jing                     	16
228   	25.00%      	Irkalla                  	32
229   	25.00%      	IO                       	16
230   	25.00%      	Frank                    	16
231   	25.00%      	Eevee                    	16
232   	25.00%      	CHAGA99                  	32
233   	25.00%      	Acylation                	96
234   	25.00%      	ALF                      	16
235   	24.78%      	马戏团长             	456
236   	24.48%      	光明之眼             	192
237   	24.43%      	欧尼酱                	176
238   	24.43%      	夏野川                	176
239   	24.38%      	秀仔                   	160
240   	24.38%      	SansGotLazy              	160
241   	24.31%      	无语锂电池          	432
242   	24.31%      	Yu無礼                 	144
243   	24.28%      	乙二胺四乙酸       	416
244   	24.26%      	汐楚三月             	272
245   	24.22%      	立直大王             	128
246   	24.22%      	洛兰希尔坠星       	512
247   	24.21%      	北北                   	95
248   	24.15%      	黑火                   	352
249   	24.11%      	软趴趴                	112
250   	24.11%      	姬丝秀忒             	112
251   	24.11%      	suliao                   	112
252   	23.96%      	芜芯                   	96
253   	23.96%      	次方                   	96
254   	23.96%      	总是学不会          	288
255   	23.96%      	zsswg                    	96
256   	23.96%      	lan666                   	192
257   	23.96%      	Ramoynd                  	96
258   	23.91%      	徐北to                 	640
259   	23.86%      	算符                   	176
260   	23.81%      	bagua                    	336
261   	23.75%      	泠依喵                	80
262   	23.75%      	月挽星回             	80
263   	23.75%      	六百六十六          	80
264   	23.75%      	一叶菩提             	160
265   	23.75%      	CHAGA120                 	80
266   	23.74%      	冰糖榴梨             	139
267   	23.68%      	拾陆                   	304
268   	23.68%      	洛天依                	587
269   	23.67%      	悠雨丶浪淘沙       	283
270   	23.62%      	朱克斯                	254
271   	23.51%      	voncast                  	672
272   	23.50%      	大哥大的小弟       	400
273   	23.49%      	Aimp                     	728
274   	23.46%      	正弦                   	324
275   	23.44%      	诈胡战士             	64
276   	23.44%      	记忆里的炎夏       	64
277   	23.44%      	西楚霸王某某       	64
278   	23.44%      	苑清青                	128
279   	23.44%      	皮皮161616             	64
280   	23.44%      	漳州Cody               	64
281   	23.44%      	日安夜愿             	64
282   	23.44%      	婉兮                   	64
283   	23.44%      	壹玖陆and417          	64
284   	23.44%      	何苏                   	128
285   	23.44%      	INFP                     	64
286   	23.44%      	DSCH                     	128
287   	23.44%      	Bullshitmatt             	64
288   	23.44%      	Aspartic11               	64
289   	23.33%      	球1234                  	120
290   	23.30%      	舛敖                   	176
291   	23.30%      	墨辰                   	176
292   	23.30%      	三只大土鳖          	176
293   	23.26%      	吃了再日             	288
294   	23.21%      	龍龍想你了          	112
295   	23.21%      	百千万                	112
296   	23.21%      	小白ali                	224
297   	23.21%      	井川子虎             	112
298   	23.21%      	citrus                   	224
299   	23.15%      	土豆豆鸭             	540
300   	23.15%      	luocl                    	216
301   	23.11%      	熵减                   	528
302   	23.08%      	管家婆                	208
303   	23.05%      	JN                       	256
304   	23.03%      	水小妹                	304
305   	22.98%      	不吃葱花             	496
306   	22.97%      	Colanya                  	148
307   	22.92%      	食卓塩                	48
308   	22.92%      	超薄也有距离       	48
309   	22.92%      	英格兰巫师          	144
310   	22.92%      	胖子zzz                	144
311   	22.92%      	理论魔术师          	48
312   	22.92%      	澜川                   	96
313   	22.92%      	沮望                   	384
314   	22.92%      	搞子                   	192
315   	22.92%      	小绿帽                	48
316   	22.92%      	井九清                	48
317   	22.92%      	云淡风轻             	48
318   	22.92%      	yyyyyyh                  	48
319   	22.92%      	symbol                   	48
320   	22.92%      	miracle                  	96
321   	22.92%      	majongmaster             	48
322   	22.92%      	huaji                    	48
323   	22.92%      	Trin                     	96
324   	22.92%      	Silence                  	384
325   	22.92%      	Middag                   	96
326   	22.92%      	Altros                   	48
327   	22.86%      	聆风秋邻             	608
328   	22.81%      	何いみ                	320
329   	22.79%      	朴彩英                	215
330   	22.78%      	zumgze                   	496
331   	22.77%      	琪露诺不是九       	224
332   	22.77%      	显卡                   	448
333   	22.77%      	一色儿                	224
334   	22.77%      	jellyhi                  	224
335   	22.75%      	只打CHAGA              	400
336   	22.73%      	QryanQ                   	176
337   	22.67%      	猪突猛进             	688
338   	22.67%      	Felix                    	344
339   	22.66%      	草莓                   	128
340   	22.66%      	祖向格                	128
341   	22.66%      	清梦挽歌             	128
342   	22.66%      	九九ya                 	256
343   	22.66%      	hamburger                	256
344   	22.66%      	bits                     	128
345   	22.64%      	尚恩                   	2368
346   	22.63%      	雅屁                   	2024
347   	22.62%      	淡定哥                	252
348   	22.62%      	山不言                	336
349   	22.60%      	尘世                   	208
350   	22.59%      	喻秋水                	704
351   	22.57%      	🏹🪚👴             	288
352   	22.57%      	VvV不会金八          	288
353   	22.54%      	小猪美美             	448
354   	22.51%      	魔法少女寻笺       	684
355   	22.50%      	竹井久                	80
356   	22.50%      	眠灯入门             	40
357   	22.50%      	圣堂萌新0v0          	80
358   	22.50%      	佐佐木淳平          	80
359   	22.50%      	mortal                   	80
360   	22.50%      	leverid                  	80
361   	22.48%      	伽罗妹妹             	516
362   	22.43%      	Alismatika               	272
363   	22.41%      	地狱火的挽歌       	464
364   	22.40%      	渝宇                   	183
365   	22.39%      	云                      	880
366   	22.38%      	下一张牌自摸       	344
367   	22.37%      	黑心换黑心          	1408
368   	22.36%      	镜影                   	416
369   	22.35%      	odd                      	528
370   	22.32%      	深海大菠萝          	112
371   	22.32%      	早哥                   	448
372   	22.32%      	xyhsjh                   	112
373   	22.32%      	cslp                     	224
374   	22.27%      	Fred460                  	256
375   	22.22%      	宝宝                   	432
376   	22.22%      	呵呵哒                	144
377   	22.22%      	凑凑番                	144
378   	22.22%      	zhozho                   	144
379   	22.22%      	chuqing                  	36
380   	22.22%      	Rich                     	144
381   	22.22%      	Choimoe                  	2520
382   	22.20%      	cx遇恒                 	608
383   	22.19%      	氟磺酸镍             	748
384   	22.19%      	麻将预防痴呆       	356
385   	22.18%      	清風不歸客          	496
386   	22.16%      	萌新11                 	176
387   	22.16%      	佤熙紫                	176
388   	22.16%      	artemis                  	176
389   	22.16%      	Kazuradrop               	352
390   	22.16%      	黎黎                   	510
391   	22.13%      	狗勾战士夕夕       	592
392   	22.12%      	信噪比                	226
393   	22.12%      	雏步                   	208
394   	22.12%      	阳光男孩             	104
395   	22.12%      	知不可乎             	416
396   	22.12%      	洋山芋炒咸鱼       	208
397   	22.11%      	Randy                    	2397
398   	22.10%      	奈芙莲                	448
399   	22.08%      	甜蜜桃花             	240
400   	22.08%      	hb                       	77
401   	22.08%      	青椒                   	684
402   	22.07%      	我是时光啊          	376
403   	22.06%      	超级七对怪          	272
404   	22.06%      	牌手                   	272
405   	22.06%      	pyy                      	272
406   	22.06%      	floatcloud               	272
407   	22.04%      	莫莫柴                	304
408   	22.04%      	狗                      	608
409   	22.04%      	典狱长                	304
410   	22.02%      	天地不照             	168
411   	22.01%      	水墨                   	4144
412   	22.00%      	油泵                   	400
413   	22.00%      	二阶堂真红          	400
414   	21.98%      	luoshen                  	464
415   	21.97%      	臣服                   	1311
416   	21.96%      	萌新小笨鸟          	255
417   	21.94%      	仓田真白             	1664
418   	21.93%      	雀神A01                	228
419   	21.93%      	快雪时晴             	912
420   	21.93%      	魂魄                   	1888
421   	21.93%      	Falcao                   	488
422   	21.92%      	阿升                   	520
423   	21.88%      	黑泽咲                	96
424   	21.88%      	长崎爱爱音          	64
425   	21.88%      	迷途                   	64
426   	21.88%      	远山黛蓝             	96
427   	21.88%      	路边一条             	64
428   	21.88%      	超收敛模形式       	32
429   	21.88%      	诈诈的胡             	32
430   	21.88%      	蜡笔小帅             	64
431   	21.88%      	萌新小雷             	96
432   	21.88%      	茉莉鲨                	32
433   	21.88%      	老王c                  	32
434   	21.88%      	笨笨                   	224
435   	21.88%      	秋名山丘比          	32
436   	21.88%      	神里绫华             	32
437   	21.88%      	祈桜                   	32
438   	21.88%      	白纯里绪             	96
439   	21.88%      	璃茉                   	192
440   	21.88%      	渡鸟                   	64
441   	21.88%      	浮生小朋友          	1888
442   	21.88%      	洛阳yy                 	320
443   	21.88%      	桔梗                   	32
444   	21.88%      	栖久                   	32
445   	21.88%      	本智                   	32
446   	21.88%      	木木夕                	224
447   	21.88%      	望月穗波             	160
448   	21.88%      	晨昏对峙             	32
449   	21.88%      	春田太太             	32
450   	21.88%      	庄寒雁                	64
451   	21.88%      	幻浪                   	256
452   	21.88%      	天北                   	32
453   	21.88%      	大米                   	256
454   	21.88%      	塔利雅                	64
455   	21.88%      	嗯好可以行2         	32
456   	21.88%      	呓语年少             	32
457   	21.88%      	半成                   	64
458   	21.88%      	十鬼蛇沃玛          	320
459   	21.88%      	北                      	64
460   	21.88%      	冰川纱夜             	32
461   	21.88%      	依璐                   	224
462   	21.88%      	伪随机                	128
463   	21.88%      	五河かがく          	32
464   	21.88%      	主播狙击手          	64
465   	21.88%      	与梦随缘喵          	32
466   	21.88%      	上帝肥嘟嘟          	64
467   	21.88%      	一番赏                	32
468   	21.88%      	zinv                     	64
469   	21.88%      	ssshamu                  	224
470   	21.88%      	rainbow369               	928
471   	21.88%      	qxbk                     	32
472   	21.88%      	michalek                 	96
473   	21.88%      	melonpi                  	32
474   	21.88%      	jjh667                   	32
475   	21.88%      	fiorgace                 	128
476   	21.88%      	biu                      	96
477   	21.88%      	Tricale                  	64
478   	21.88%      	TokisakiG                	64
479   	21.88%      	Shawn                    	32
480   	21.88%      	Rain                     	32
481   	21.88%      	OODCC                    	32
482   	21.88%      	MakiYu                   	32
483   	21.88%      	M7t11                    	96
484   	21.88%      	GoodNight                	320
485   	21.88%      	Fayehe                   	128
486   	21.88%      	Esx                      	32
487   	21.88%      	Dreamcast                	192
488   	21.88%      	Charlotte                	1248
489   	21.88%      	CVB123                   	32
490   	21.88%      	CHAGAJencese             	32
491   	21.88%      	BLG首席打野          	32
492   	21.88%      	Appr2025                 	32
493   	21.88%      	Amazingkitty             	96
494   	21.88%      	Alphabeb                 	96
495   	21.84%      	念起觉迟             	1456
496   	21.83%      	Yusaki                   	1200
497   	21.81%      	空想少女             	1660
498   	21.81%      	inami                    	720
499   	21.80%      	雪豹                   	656
500   	21.80%      	alldxly                  	734
501   	21.79%      	NaOH                     	312
502   	21.76%      	七夜的许愿星       	1360
503   	21.74%      	小柒                   	368
504   	21.71%      	zyl                      	304
505   	21.71%      	TristeQ                  	304
506   	21.70%      	矢来美羽             	576
