Rank,Rate,Player Name,Player ID,Rounds
1,0.5454545454545454,"幽幽不玩游戏","kMJH5cPt",11
2,0.5,"疯狂宝贝","8bypDskY",16
3,0.4375,"九宫徵羽","Q4jZeL88",16
4,0.4375,"蒙多医生","BsmnJRZ1",16
5,0.40625,"kx","qX5VrrEk",32
6,0.375,"A1S","P1SnNfsY",16
7,0.375,"Jayden1129","ULRwKqV9",16
8,0.375,"KuozakiSaika","6upDPNgV",16
9,0.375,"TenyZ","HFSiEKFp",16
10,0.375,"nmleague","iSzY5fRM",32
11,0.375,"srj","aV9nthyY",16
12,0.375,"white","WWkaNAkE",16
13,0.375,"zzrdfq","HHPzBxXj",16
14,0.375,"你买菜必涨价","ZuXsAQf1",16
15,0.375,"单机麻将","nfeoZ0VY",16
16,0.375,"司马雀魂","KqcgMA9z",16
17,0.375,"哇哇哇","JnHFKVAr",16
18,0.375,"寿陵余子","PUGQNj0n",16
19,0.375,"昵称","hXGxhTV5",16
20,0.375,"湖惑","RDLCyYFc",16
21,0.375,"白水哩","mNH7baXD",16
22,0.375,"篝","Pkn118sc",16
23,0.375,"连七对","RFEUhyob",16
24,0.375,"阿久津翔太","Dytf9mAb",32
25,0.359375,"孤影","fpDpqAzV",64
26,0.34375,"冥小喵","wStnAnCs",32
27,0.34375,"千手白子","E3DksPY4",64
28,0.34375,"正气明凝","YVdBGc8y",64
29,0.34375,"落影折桂","1shUb65y",32
30,0.34375,"雀鬼","QA5LHE4r",32
31,0.3333333333333333,"小胡","PpCN4rWd",9
32,0.328125,"克己小75","8kfL1nQn",64
33,0.328125,"只打萧寒","mGusjGtW",64
34,0.328125,"糕手","A1uy8Mdy",64
35,0.3203125,"茉莉鲨","VjCPrCFG",128
36,0.3125,"Hrl258","x98yfduR",16
37,0.3125,"JTY123457","gn64DqsF",16
38,0.3125,"Tomcat","EJQe608x",32
39,0.3125,"Tony","2UPsb7jy",48
40,0.3125,"Yangyumao","fQtZot30",16
41,0.3125,"annayanami","2ihC64v5",16
42,0.3125,"artrain","RFBT64m1",16
43,0.3125,"eco","tLwGtmUi",16
44,0.3125,"lpa","D8eeEQjA",32
45,0.3125,"rkcd","CQ5VZKz0",16
46,0.3125,"sova","DuKpdyFJ",16
47,0.3125,"spoonzzzz","G3UoT8qz",16
48,0.3125,"tenten","KXZS101y",32
49,0.3125,"yamipi2333","E54eDc6e",16
50,0.3125,"zzzsk","tqfvwHet",32
51,0.3125,"上吉","8wkQkNaR",16
52,0.3125,"人木自心","KdePEknD",16
53,0.3125,"冷欺花","eNSkhkxB",16
54,0.3125,"卡夫卡卡摔","M2wbK2oj",16
55,0.3125,"发腮缅因","Am8YM5yr",16
56,0.3125,"古月方源","A7oGdLiy",32
57,0.3125,"大盘鸡宅急送","WTLk2xNP",16
58,0.3125,"天然法师","sfYYjzzj",16
59,0.3125,"小k云魂","R3stFGFF",48
60,0.3125,"小张同学","cXVdcxEf",32
61,0.3125,"小林刚","GHHaP4Fx",32
62,0.3125,"岳麓山大王","8xXEo5ry",16
63,0.3125,"快乐风男","VHtjiMKy",32
64,0.3125,"是大侠吖","WF8CWGGV",16
65,0.3125,"晓白晓白晓","cDvxHMPc",32
66,0.3125,"枪匠","bBA04ohU",16
67,0.3125,"止匕小幺","tWd7rcW0",32
68,0.3125,"泷辰子","TrQ1FAYR",16
69,0.3125,"玖楼的考古家","4kHqrnq9",16
70,0.3125,"珉紫","Kg3ibr92",16
71,0.3125,"甘蔗","twkW11RG",16
72,0.3125,"甜橙","fS1RQzR4",16
73,0.3125,"白羊","tCDGsSq7",16
74,0.3125,"白羽寒","NxFjrh5c",48
75,0.3125,"瞻某人","fG62JF1T",16
76,0.3125,"绘心菇凉","xDor1WQo",16
77,0.3125,"送子","wq6AaxkY",16
78,0.30357142857142855,"月曦","nb2aezuC",112
79,0.3020833333333333,"qyjwty","argfbRZp",96
80,0.3020833333333333,"茜空","3TGSrYYp",96
81,0.3,"Lemo","6cN4EeEN",80
82,0.3,"ZJU国标分队","i5dTserz",100
83,0.29464285714285715,"胜天一番","pJL26aXb",112
84,0.2916666666666667,"仲林圭","sxpvXNi4",96
85,0.2916666666666667,"南风","km3wMh5t",48
86,0.2916666666666667,"卷谁呢","xKqmeNiB",48
87,0.2916666666666667,"数据终端","XKvZ6Qks",48
88,0.2916666666666667,"门清大师兄","065RqFCQ",48
89,0.2916666666666667,"风雨两重天","h6buKJiC",48
90,0.2875,"鲤鱼号","XT35gYx6",80
91,0.28125,"Jing","n2C9V954",32
92,0.28125,"Plio大咸鱼","G50ZPn0j",32
93,0.28125,"cyy","w9Sd222M",32
94,0.28125,"guo707","4FGgn1RB",64
95,0.28125,"jzlxlorf","V0pN7u0m",32
96,0.28125,"softhuang","KU5RVRmG",32
97,0.28125,"九歌哥","qjGWPjA2",32
98,0.28125,"决战机器人","mdzpkvHM",96
99,0.28125,"博博巨奈斯","BDEh5DSH",64
100,0.28125,"小张同学3","3ra2j8u9",32
101,0.28125,"日鳴","FyycPDa7",32
102,0.28125,"渋德安","9F7QM6j7",64
103,0.28125,"百敌针鱼","m3Kx7QxC",32
104,0.28125,"神仙左左","6Jit4kW4",32
105,0.28125,"胡伊卓","WeTHzxpk",32
106,0.28125,"艾琳","mQfxLaU6",96
107,0.28125,"蒲原智美","DiGeKWRB",32
108,0.28125,"西兰花","J5uXAjRF",64
109,0.28125,"郑美云","bwoZ613a",32
110,0.2791666666666667,"猫记饭团","T82V8yJZ",240
111,0.2777777777777778,"木木","QmAfUUvQ",72
112,0.2777777777777778,"林零柒","FHUSAoxT",144
113,0.2767857142857143,"风林舞破","kDhcgcNn",112
114,0.275,"渣男饼干","tYR0zcAD",80
115,0.27380952380952384,"Ryzen","RzNQg9q9",84
116,0.2734375,"困了喵","iwavmenk",128
117,0.2708333333333333,"beita","Ymebcx2x",48
118,0.2708333333333333,"lhylx","kiPzRJAk",48
119,0.2708333333333333,"十二归一七对","JJqsQYWt",48
120,0.2708333333333333,"可爱小花花","ChMXhnKP",96
121,0.2708333333333333,"国家三级废物","8KazUF4J",48
122,0.2708333333333333,"天胡","L6b6AAUw",96
